id,name
1,Animation Freelancers
2,Art & Illustration Freelancers
3,Audio Production Freelancers
4,Brand Identity & Strategy Freelancers
5,Graphics & Design Freelancers
6,Logo Design & Branding Freelancers
7,Motion Graphics Freelancers
8,Photography Freelancers
9,Presentations Freelancers
10,Video Production Freelancers
11,Voice Talent Freelancers
12,Academic Writing & Research Freelancers
13,Article & Blog Writing Freelancers
14,Copywriting Freelancers
15,Creative Writing Freelancers
16,Editing & Proofreading Freelancers
17,Grant Writing Freelancers
18,Resumes & Cover Letters Freelancers
19,Technical Writing Freelancers
20,Web Content Freelancers
21,General Translation Freelancers
22,Legal Translation Freelancers
23,Medical Translation Freelancers
24,Technical Translation Freelancers
25,Contract Law Freelancers
26,Corporate Law Freelancers
27,Criminal Law Freelancers
28,Family Law Freelancers
29,Intellectual Property Law Freelancers
30,Paralegal Services Freelancers
31,Data Entry Freelancers
32,Personal / Virtual Assistant Freelancers
33,Project Management Freelancers
34,Transcription Freelancers
35,Web Research Freelancers
36,Customer Service Freelancers
37,Technical Support Freelancers
38,Display Advertising Freelancers
39,Email & Marketing Automation Freelancers
40,Lead Generation Freelancers
41,Market & Customer Research Freelancers
42,Marketing Strategy Freelancers
43,Public Relations Freelancers
44,SEM - Search Engine Marketing Freelancers
45,SEO - Search Engine Optimization Freelancers
46,SMM - Social Media Marketing Freelancers
47,Telemarketing & Telesales Freelancers
48,Accounting Freelancers
49,Consulting Freelancers
50,Human Resources Freelancers
51,Management Consulting Freelancer
