id,work,duration,freelancer_id
1,Editor,13,27
2,Environmental Specialist,1,9
3,Geologist I,23,22
4,Human Resources Manager,30,8
5,Media Manager I,28,29
6,Safety Technician I,8,17
7,Clinical Specialist,25,29
8,Speech Pathologist,22,11
9,Financial Advisor,18,30
10,Senior Cost Accountant,10,15
11,Research Nurse,29,6
12,Recruiting Manager,22,13
13,Internal Auditor,2,5
14,Staff Accountant II,28,11
15,Occupational Therapist,24,20
16,Programmer Analyst II,30,24
17,Biostatistician I,2,4
18,Accountant II,22,24
19,Tax Accountant,17,25
20,Graphic Designer,6,10
21,Statistician IV,7,3
22,Sales Representative,22,4
23,Mechanical Systems Engineer,4,27
24,Financial Advisor,28,16
25,Account Representative I,11,16
26,Web Developer IV,5,8
27,Speech Pathologist,24,12
28,Nurse,13,18
29,Speech Pathologist,16,18
30,Assistant Manager,9,9
31,Geological Engineer,11,28
32,Professor,11,9
33,Nuclear Power Engineer,29,6
34,VP Marketing,24,13
35,Software Consultant,4,14
36,Account Coordinator,8,22
37,Director of Sales,28,17
38,Nurse Practicioner,24,15
39,Research Nurse,7,25
40,Analyst Programmer,13,16
41,Teacher,16,18
42,Cost Accountant,16,12
43,Senior Financial Analyst,5,3
44,Nurse Practicioner,2,12
45,Recruiting Manager,19,26
46,Editor,28,21
47,Human Resources Assistant IV,5,16
48,Statistician II,19,24
49,Assistant Manager,6,12
50,Environmental Tech,22,12
51,Assistant Media Planner,5,28
52,Senior Sales Associate,1,8
53,Web Designer IV,16,21
54,Programmer IV,28,22
55,Financial Analyst,2,29
56,Financial Analyst,24,8
57,Senior Sales Associate,1,22
58,Speech Pathologist,12,9
59,Media Manager IV,24,28
60,Desktop Support Technician,2,2
61,Editor,14,13
62,Associate Professor,26,18
63,Payment Adjustment Coordinator,11,18
64,Biostatistician IV,19,7
65,Graphic Designer,28,14
66,Desktop Support Technician,20,30
67,Web Designer I,12,17
68,VP Marketing,2,8
69,Structural Analysis Engineer,26,26
70,Community Outreach Specialist,13,11
71,Accountant IV,27,5
72,Budget/Accounting Analyst I,18,4
73,VP Marketing,4,23
74,Nurse,21,14
75,Structural Analysis Engineer,12,15
76,Web Developer III,28,1
77,Associate Professor,5,3
78,Desktop Support Technician,7,4
79,Paralegal,5,29
80,Operator,18,3
81,Teacher,19,16
82,Help Desk Operator,17,9
83,Business Systems Development Analyst,17,13
84,Human Resources Assistant II,4,30
85,VP Product Management,20,8
86,Environmental Tech,29,17
87,Environmental Tech,18,30
88,Accounting Assistant II,5,29
89,Research Associate,1,13
90,Tax Accountant,30,13
